S.1,S.2,S.3,S.4,S.5,S.6,S.7,S.8,S.9,S.10,S.11,S.12,S.13,S.14,S.15,S.16,S.17,S.18,S.19,S.20,S.21,S.22,S.23,S.24,S.25,W,Y,Z,weights
-0.456018063,-1.462990142,-1.322362414,-0.968420568,-1.366167541,-1.444084006,-0.266471062,-0.888914297,-0.47476796,-0.911665805,-1.687902438,-1.178451453,0.426334526,-0.385457591,-0.165610384,0.097703791,0.578698538,0.138490877,-0.092353844,-0.481925075,-1.034045886,-0.211366635,-0.922398905,-0.4465746,0.002572966,1,1,1,1
2.300891128,2.714921351,1.400080958,1.621376113,1.640823271,1.678786807,2.005964441,1.793097176,1.525788722,1.668700133,0.481365697,1.876153859,-0.630299843,-0.653246769,-0.111368942,-0.436100675,-0.043760404,-0.105296866,-0.472779614,-0.149423649,-0.734094881,0.036091775,-0.088083307,-0.009547912,-0.378401506,3,0,1,1
1.966973596,2.120866717,2.536996877,1.306700063,1.693228473,1.905437663,1.791158839,1.748452112,2.044813786,0.986025567,1.793144598,1.175367142,-0.344568651,0.24713664,-0.584169033,0.21946065,-0.574043605,-0.167749695,-0.406440758,0.598284975,0.435919143,-0.426506892,-0.307196391,0.825150131,0.181659491,3,0,1,1
1.471357764,2.240818122,1.880808263,1.120445302,1.475430741,2.456965588,0.879945601,2.362596823,2.668615712,2.062356648,0.746640462,1.961467354,0.463182783,-0.063045504,-0.249339341,-0.301274714,0.437267168,0.211952571,0.098717993,0.747926022,-0.411665021,-0.771997983,-0.078017239,-0.211384579,-0.269394399,2,0,1,1
2.86921082,1.948824295,1.04465856,3.198849613,2.051727614,1.504210625,2.105776116,1.561347187,2.085337017,1.847319515,1.766960735,0.689474546,-0.40071835,-0.525815786,0.073062779,1.219551985,0.436125561,0.586702208,0.055163173,-0.664929844,0.146371817,-0.936847466,-0.31843612,-0.322304214,-0.493472733,2,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1
1.980487285,1.860617646,1.575541977,2.083420207,1.710058402,0.53661282,1.783198083,1.379270791,1.916357868,1.843584342,2.289089694,0.338863473,-0.044151725,0.170298567,-0.512676552,0.157404906,0.442112423,0.667768116,-0.178624004,0.270957434,-0.79991323,0.376821811,-0.010553525,-0.220929926,-0.318483471,2,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1
0.01371788,-0.690025807,-0.854036835,-0.935800584,-0.656749549,-1.275436896,-1.043003274,-0.768584681,-0.873508919,-0.606429449,-0.437422479,-1.160037577,-0.96403522,-0.348064236,-0.128240478,0.448216913,0.008918938,-0.638153607,-0.164692134,0.513982635,0.524690291,0.03916195,0.879991087,1.588949314,-0.044167192,3,0,1,1
1.485561434,2.789041892,1.634294696,1.518502259,1.990056674,2.034447128,2.566963046,1.772141826,1.631960446,0.067011541,1.304550083,1.443610165,-0.295313895,0.2569201,0.783189328,-0.288580307,-0.436608622,-0.158679452,-0.626248395,0.051158954,0.604538603,0.591241656,0.855892157,-0.363116036,0.304809655,1,0,0,1
